movieId,primaryTitle,originalTitle,startYear,runtimeMinutes,genres,posterUrl
tt0100998,Dreams,Yume,1990,119,Drama_Fantasy,https://image.tmdb.org/t/p/w185/xPd4wOazb6NuoYogtAsByrD5U8s.jpg
tt0101003,Freeze Die Come to Life,"Zamri, umri, voskresni!",1990,105,Drama,https://image.tmdb.org/t/p/w185/ur1jJZXpJdfixWDy5n7T5luSsJn.jpg
tt0101025,"¡Ay, Carmela!","¡Ay, Carmela!",1990,102,Comedy_Drama_War,https://image.tmdb.org/t/p/w185/ssHee6Y2TviaJRTxQszQigS4YM5.jpg
tt0101252,29th Street,29th Street,1991,101,Comedy_Drama,https://image.tmdb.org/t/p/w185/xd3QQq9quCxBzHrUnSEutH4QvL7.jpg
tt0101254,35 Up,35 Up,1991,123,Biography_Documentary,https://image.tmdb.org/t/p/w185/6qogzCyT1X4ULfQ3tOqVowmTH0b.jpg
tt0101258,Days of Being Wild,Ah Fei jing juen,1990,100,Crime_Drama_Romance,https://image.tmdb.org/t/p/w185/acfLUO8E61u0ooWS6htbzTHDBcI.jpg
tt0101279,The Stranger,Agantuk,1991,120,Drama,https://image.tmdb.org/t/p/w185/uNYlRzs8PBGCvJO5O9NO3Hx7L3x.jpg
tt0101290,Butterfly Wings,Alas de mariposa,1991,108,Drama,https://image.tmdb.org/t/p/w185/fhOJX3idPDlZ3oQSBSLKO5NHeju.jpg
tt0101318,The Lovers on the Bridge,Les amants du Pont-Neuf,1991,125,Drama_Romance,https://image.tmdb.org/t/p/w185/un81oln6mAv66sqnkgPSpWONUqP.jpg
tt0101374,At the Max,At the Max,1991,89,Documentary_Music,https://image.tmdb.org/t/p/w185/qhYVylMSytAHqGASdCAb0vxPtro.jpg
tt0101408,Barbara Stanwyck: Fire and Desire,Barbara Stanwyck: Fire and Desire,1991,50,Documentary,https://image.tmdb.org/t/p/w185/dfj1QZ3Wd3QhzpEEX9jZpG5HKBs.jpg
tt0101410,Barton Fink,Barton Fink,1991,116,Comedy_Drama_Thriller,https://image.tmdb.org/t/p/w185/s8Jd8T2UktNkECPfaleruDt3zUf.jpg
tt0101414,Beauty and the Beast,Beauty and the Beast,1991,84,Animation_Family_Fantasy,https://image.tmdb.org/t/p/w185/738LwXpurba93dm0jEDReX98uKm.jpg
tt0101428,The Beautiful Troublemaker,La Belle Noiseuse,1991,238,Drama,https://image.tmdb.org/t/p/w185/4WkEG8eJYaI6SkqXYhP2G22pwof.jpg
tt0101429,Divertimento,Divertimento,1992,130,Drama,https://image.tmdb.org/t/p/w185/ajOxdLkl4Got58OVjPpa7Ey9zat.jpg
tt0101435,Bernard and the Genie,Bernard and the Genie,1991,70,Comedy_Drama_Fantasy,https://image.tmdb.org/t/p/w185/wuCKpz9HMQDj1NOybIKn3q7ofCf.jpg
tt0101465,Black Robe,Black Robe,1991,101,Adventure_Drama_History,https://image.tmdb.org/t/p/w185/iuN2ykTAUBmjPbGUWlsO8ZbsJ5L.jpg
tt0101466,Black Widow,Black Widow,1991,0,Documentary,Unknown
tt0101479,Blood in the Face,Blood in the Face,1991,78,Documentary,https://image.tmdb.org/t/p/w185/r3PkGhRgoJB4QnYsF5U6wARd9xT.jpg
tt0101490,To Be Number One,Bai Ho,1991,136,Biography_Crime_Drama,https://image.tmdb.org/t/p/w185/w5ZOlfE5lfaovM9RfSuMo1PffPs.jpg
tt0101507,Boyz n the Hood,Boyz n the Hood,1991,112,Crime_Drama,https://image.tmdb.org/t/p/w185/v4ox4aSCNT5vyLXl4Q71JiWwCXW.jpg
tt0101526,Children of Nature,Börn náttúrunnar,1991,82,Drama_Romance,https://image.tmdb.org/t/p/w185/lsYKr51GWOwNjZvu6lyry1nNH9S.jpg
tt0101540,Cape Fear,Cape Fear,1991,128,Crime_Thriller,https://image.tmdb.org/t/p/w185/gUHT7z0s0m0j64mqmSuML9RT1GQ.jpg
tt0101588,City of Hope,City of Hope,1991,129,Crime_Drama,https://image.tmdb.org/t/p/w185/cPCahQHDhAOAaw2mU4L5Hfpq6OF.jpg
tt0101592,Clearcut,Clearcut,1991,100,Drama_Thriller_Western,https://image.tmdb.org/t/p/w185/fnW14OEW3DEuIMS1w3ojw96gij5.jpg
tt0101600,The Dove's Lost Necklace,Le Collier Perdu de la Colombe,1991,86,Drama_Family_Fantasy,https://image.tmdb.org/t/p/w185/pRBRyiND5FTzvkOxrLkyMpgLi3K.jpg
